listened_to_datetime,s_id,g_id,genrename
2021-09-13 00:05:41.000000,89,120,dub techno
2021-09-20 11:53:05.000000,478,102,death metal
2022-03-30 12:37:44.000000,141,78,contemporary classical
2021-12-05 10:46:04.000000,493,152,folk punk
2021-03-21 05:33:46.000000,2,248,math rock
2022-08-08 16:03:38.000000,239,176,glam rock
2020-08-25 04:41:56.000000,421,106,western classical
2022-09-05 16:33:42.000000,333,450,harsh noise
2021-12-26 05:08:00.000000,7,464,yacht rock
2022-02-03 00:15:03.000000,274,152,folk punk
2021-09-11 11:41:58.000000,68,161,funk rock
2022-08-10 20:45:46.000000,206,231,beat music
2021-06-16 07:10:25.000000,220,211,industrial metal
2022-12-27 18:41:32.000000,477,34,bhangra
2021-01-21 17:21:36.000000,94,94,dance
2021-06-22 20:24:35.000000,44,320,progressive metal
2022-06-17 12:47:25.000000,421,106,western classical
2021-09-02 00:01:59.000000,373,382,swing
2022-05-14 07:04:56.000000,332,141,funkot
2020-09-01 00:01:12.000000,36,292,old school death metal
2022-06-05 06:32:09.000000,447,389,synth-pop
2022-08-09 20:50:07.000000,68,161,funk rock
2022-12-24 00:03:33.000000,339,206,indie pop
2023-01-18 09:30:41.000000,44,320,progressive metal
2021-06-09 00:03:14.000000,156,268,motown
2021-10-28 18:13:26.000000,215,185,grime
2021-04-24 12:33:34.000000,262,118,drum and bass
2021-09-21 12:26:49.000000,52,224,jazz fusion
2020-11-15 14:34:13.000000,492,38,black metal
2021-09-30 19:09:25.000000,245,304,pornogrind
2022-11-10 00:03:28.000000,161,427,boogie rock
2021-08-23 00:00:49.000000,471,495,carnatic classical
2020-05-25 00:08:45.000000,434,263,mincecore
2020-05-29 04:27:53.000000,205,271,neo soul
2020-10-26 08:54:11.000000,270,276,new age
2022-05-26 22:00:42.000000,433,304,pornogrind
2023-02-26 00:03:35.000000,320,43,blues rock
2020-10-20 01:09:08.000000,108,385,symphonic prog
2021-02-11 18:30:18.000000,53,127,electro house
2020-07-12 00:03:25.000000,192,56,calypso
2020-05-27 12:58:20.000000,477,34,bhangra
2020-12-09 21:57:15.000000,369,358,singer-songwriter
2021-07-29 23:59:32.000000,349,278,new romantic
2022-08-09 00:21:15.000000,65,432,future garage
2020-04-09 00:01:11.000000,39,55,cajun
2021-01-07 08:15:12.000000,493,152,folk punk
2021-11-03 19:31:21.000000,486,367,soft rock
2021-10-29 00:25:37.000000,308,431,swamp rock
2021-09-24 03:36:38.000000,18,72,classic jazz
2020-07-07 23:37:39.000000,428,148,filk
2020-07-10 14:30:22.000000,358,385,symphonic prog
2020-04-08 00:03:42.000000,70,17,ambient techno
2022-08-28 13:08:03.000000,119,27,avant-garde metal
2022-02-19 21:58:37.000000,360,102,death metal
2022-04-22 22:37:12.000000,391,61,chamber pop
2022-03-16 23:14:29.000000,291,201,horror punk
2021-12-16 22:42:16.000000,247,429,phonk
2021-07-28 02:41:05.000000,207,254,romantische oper
2020-05-01 20:02:37.000000,85,23,atmospheric black metal
2023-01-22 03:05:01.000000,269,259,metalcore
2022-10-18 13:57:22.000000,365,188,grunge
2020-08-10 23:06:17.000000,153,379,stoner rock
2022-05-22 14:16:53.000000,338,465,comedy rock
2021-03-03 07:30:42.000000,7,464,yacht rock
2022-09-25 14:02:29.000000,392,393,techno
2022-02-19 03:20:38.000000,206,231,beat music
2021-07-07 19:09:21.000000,249,424,joik
2021-05-07 05:24:58.000000,462,176,glam rock
2022-05-28 23:20:14.000000,135,359,ska
2023-02-22 13:36:15.000000,248,121,dubstep
2020-05-01 06:41:16.000000,246,19,anarcho-punk
2021-12-28 09:27:06.000000,171,147,fado
2021-08-26 09:31:15.000000,305,46,boom bap
2021-04-10 21:14:27.000000,100,344,reggaeton
2021-07-14 06:28:18.000000,78,156,free improvisation
2023-01-20 11:44:08.000000,60,17,ambient techno
2022-06-12 22:50:07.000000,37,292,old school death metal
2023-01-15 18:12:23.000000,275,311,post-rock
2022-12-04 03:55:49.000000,252,376,speed metal
2022-12-28 00:30:10.000000,118,164,sigidrigi
2020-08-20 09:30:59.000000,220,211,industrial metal
2021-09-29 22:45:41.000000,141,78,contemporary classical
2021-08-04 03:00:33.000000,258,146,experimental rock
2021-12-02 17:37:36.000000,430,450,harsh noise
2022-09-15 04:51:18.000000,259,493,chachachá
2022-09-20 07:56:21.000000,157,373,southern soul
